OS Benchmark experiment
Test Name:,4.12.0-slab,
       ref          kbest:,0.000000021,
       ref        average:,0.000000035,
       cpu          kbest:,0.003133318,
       cpu        average:,0.003134890,
    getpid          kbest:,0.000000060,
    getpid        average:,0.000000077,
      send          kbest:,0.000000271,
      send        average:,0.000000853,
      recv          kbest:,0.000000467,
      recv        average:,0.000001256,
  big send          kbest:,0.000011227,
  big send        average:,0.000016956,
  big recv          kbest:,0.000018322,
  big recv        average:,0.000028072,
context siwtch          kbest:,0.000003361,
context siwtch        average:,0.000003456,
      fork          kbest:,0.000086239,
      fork       average:,0.000175601,
      fork    Child kbest:,0.000125115,
      fork Child average:,0.000247789,
thr create          kbest:,0.000004696,
thr create       average:,0.000012736,
thr create    Child kbest:,0.000006380,
thr create Child average:,0.000022356,
  big fork          kbest:,0.001477690,
  big fork       average:,0.002654779,
  big fork    Child kbest:,0.001427436,
  big fork Child average:,0.002764250,
 huge fork          kbest:,0.002191325,
 huge fork       average:,0.004901452,
 huge fork    Child kbest:,0.002498346,
 huge fork Child average:,0.005013816,
small write          kbest:,0.000000603,
small write        average:,0.000000721,
small read          kbest:,0.000000248,
small read        average:,0.000000447,
small mmap          kbest:,0.000000308,
small mmap        average:,0.000000318,
small munmap          kbest:,0.000000618,
small munmap        average:,0.000000637,
small page fault          kbest:,0.000000484,
small page fault        average:,0.000000495,
 mid write          kbest:,0.000005288,
 mid write        average:,0.000005443,
  mid read          kbest:,0.000002251,
  mid read        average:,0.000002915,
  mid mmap          kbest:,0.000000296,
  mid mmap        average:,0.000000309,
mid munmap          kbest:,0.000002505,
mid munmap        average:,0.000002593,
mid page fault          kbest:,0.000000914,
mid page fault        average:,0.000000953,
 big write          kbest:,0.000611559,
 big write        average:,0.000615900,
  big read          kbest:,0.000329359,
  big read        average:,0.000331259,
  big mmap          kbest:,0.000000318,
  big mmap        average:,0.000000331,
big munmap          kbest:,0.000108166,
big munmap        average:,0.000108834,
big page fault          kbest:,0.000001333,
big page fault        average:,0.000001372,
huge write          kbest:,0.013472955,
huge write        average:,0.013616367,
 huge read          kbest:,0.019232624,
 huge read        average:,0.019370991,
 huge mmap          kbest:,0.000000300,
 huge mmap        average:,0.000000325,
huge munmap          kbest:,0.001130530,
huge munmap        average:,0.001184904,
huge page fault          kbest:,0.000001324,
huge page fault        average:,0.000001348,
    select          kbest:,0.000000473,
    select        average:,0.000000561,
      poll          kbest:,0.000000344,
      poll        average:,0.000000424,
     epoll          kbest:,0.000000367,
     epoll        average:,0.000000465,
select big          kbest:,0.000049257,
select big        average:,0.000052318,
  poll big          kbest:,0.000047251,
  poll big        average:,0.000050115,
 epoll big          kbest:,0.000046424,
 epoll big        average:,0.000049950,
