OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000043,
       cpu          kbest:,0.003084592,
       cpu        average:,0.003652541,
    getpid          kbest:,0.000000528,
    getpid        average:,0.000000538,
      send          kbest:,0.000000897,
      send        average:,0.000001955,
      recv          kbest:,0.000001183,
      recv        average:,0.000002109,
  big send          kbest:,0.000010907,
  big send        average:,0.000013306,
  big recv          kbest:,0.000020668,
  big recv        average:,0.000031779,
context siwtch          kbest:,0.000005471,
context siwtch        average:,0.000007002,
      fork          kbest:,0.000091782,
      fork       average:,0.000191122,
      fork    Child kbest:,0.000160541,
      fork Child average:,0.000322265,
thr create          kbest:,0.000011711,
thr create       average:,0.000026078,
thr create    Child kbest:,0.000016638,
thr create Child average:,0.000039923,
  big fork          kbest:,0.001680730,
  big fork       average:,0.002621039,
  big fork    Child kbest:,0.001855882,
  big fork Child average:,0.002776625,
 huge fork          kbest:,0.004635514,
 huge fork       average:,0.005911103,
 huge fork    Child kbest:,0.004810989,
 huge fork Child average:,0.006053687,
small write          kbest:,0.000001510,
small write        average:,0.000001805,
small read          kbest:,0.000000852,
small read        average:,0.000000904,
small mmap          kbest:,0.000000977,
small mmap        average:,0.000001024,
small munmap          kbest:,0.000001545,
small munmap        average:,0.000001592,
small page fault          kbest:,0.000001100,
small page fault        average:,0.000001143,
 mid write          kbest:,0.000007963,
 mid write        average:,0.000008167,
  mid read          kbest:,0.000003351,
  mid read        average:,0.000003560,
  mid mmap          kbest:,0.000000959,
  mid mmap        average:,0.000000996,
mid munmap          kbest:,0.000005348,
mid munmap        average:,0.000005517,
mid page fault          kbest:,0.000001692,
mid page fault        average:,0.000001759,
 big write          kbest:,0.000812132,
 big write        average:,0.000829309,
  big read          kbest:,0.000377619,
  big read        average:,0.000393816,
  big mmap          kbest:,0.000000965,
  big mmap        average:,0.000001001,
big munmap          kbest:,0.000131287,
big munmap        average:,0.000134537,
big page fault          kbest:,0.000002377,
big page fault        average:,0.000002692,
huge write          kbest:,0.013097455,
huge write        average:,0.013351621,
 huge read          kbest:,0.019592237,
 huge read        average:,0.019867849,
 huge mmap          kbest:,0.000000952,
 huge mmap        average:,0.000000987,
huge munmap          kbest:,0.001405594,
huge munmap        average:,0.001436125,
huge page fault          kbest:,0.000002373,
huge page fault        average:,0.000002720,
    select          kbest:,0.000001581,
    select        average:,0.000001741,
      poll          kbest:,0.000001539,
      poll        average:,0.000001683,
     epoll          kbest:,0.000001716,
     epoll        average:,0.000001912,
select big          kbest:,0.000114447,
select big        average:,0.000127466,
  poll big          kbest:,0.000125239,
  poll big        average:,0.000137439,
 epoll big          kbest:,0.000149408,
 epoll big        average:,0.000166891,
