OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.003084587,
       cpu        average:,0.003112726,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000355,
      send        average:,0.000001222,
      recv          kbest:,0.000000483,
      recv        average:,0.000001477,
  big send          kbest:,0.000010500,
  big send        average:,0.000016199,
  big recv          kbest:,0.000016083,
  big recv        average:,0.000029287,
context siwtch          kbest:,0.000002890,
context siwtch        average:,0.000003708,
      fork          kbest:,0.000088639,
      fork       average:,0.000199769,
      fork    Child kbest:,0.000123716,
      fork Child average:,0.000296106,
thr create          kbest:,0.000008052,
thr create       average:,0.000021369,
thr create    Child kbest:,0.000011274,
thr create Child average:,0.000033024,
  big fork          kbest:,0.001796301,
  big fork       average:,0.002334859,
  big fork    Child kbest:,0.001791963,
  big fork Child average:,0.002527046,
 huge fork          kbest:,0.003670817,
 huge fork       average:,0.004995790,
 huge fork    Child kbest:,0.003732770,
 huge fork Child average:,0.005173894,
small write          kbest:,0.000000810,
small write        average:,0.000000969,
small read          kbest:,0.000000314,
small read        average:,0.000000347,
small mmap          kbest:,0.000000426,
small mmap        average:,0.000000455,
small munmap          kbest:,0.000000862,
small munmap        average:,0.000000912,
small page fault          kbest:,0.000000644,
small page fault        average:,0.000000699,
 mid write          kbest:,0.000007132,
 mid write        average:,0.000007533,
  mid read          kbest:,0.000002773,
  mid read        average:,0.000002927,
  mid mmap          kbest:,0.000000408,
  mid mmap        average:,0.000000446,
mid munmap          kbest:,0.000003339,
mid munmap        average:,0.000003531,
mid page fault          kbest:,0.000000645,
mid page fault        average:,0.000000698,
 big write          kbest:,0.000801134,
 big write        average:,0.000829870,
  big read          kbest:,0.000366694,
  big read        average:,0.000376567,
  big mmap          kbest:,0.000000412,
  big mmap        average:,0.000000450,
big munmap          kbest:,0.000138175,
big munmap        average:,0.000141979,
big page fault          kbest:,0.000000857,
big page fault        average:,0.000000972,
huge write          kbest:,0.012672177,
huge write        average:,0.012897618,
 huge read          kbest:,0.019145816,
 huge read        average:,0.019669979,
 huge mmap          kbest:,0.000000410,
 huge mmap        average:,0.000000462,
huge munmap          kbest:,0.001448708,
huge munmap        average:,0.001472202,
huge page fault          kbest:,0.000000887,
huge page fault        average:,0.000000949,
    select          kbest:,0.000000620,
    select        average:,0.000000711,
      poll          kbest:,0.000000561,
      poll        average:,0.000000632,
     epoll          kbest:,0.000000781,
     epoll        average:,0.000000918,
select big          kbest:,0.000051249,
select big        average:,0.000058756,
  poll big          kbest:,0.000064042,
  poll big        average:,0.000071826,
 epoll big          kbest:,0.000088279,
 epoll big        average:,0.000100619,
