OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084581,
       cpu        average:,0.003137540,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000082,
      send          kbest:,0.000000327,
      send        average:,0.000001195,
      recv          kbest:,0.000000478,
      recv        average:,0.000001658,
  big send          kbest:,0.000009873,
  big send        average:,0.000015827,
  big recv          kbest:,0.000015060,
  big recv        average:,0.000028118,
context siwtch          kbest:,0.000002912,
context siwtch        average:,0.000003736,
      fork          kbest:,0.000085498,
      fork       average:,0.000199465,
      fork    Child kbest:,0.000117804,
      fork Child average:,0.000300864,
thr create          kbest:,0.000007894,
thr create       average:,0.000019495,
thr create    Child kbest:,0.000010901,
thr create Child average:,0.000031076,
  big fork          kbest:,0.001573133,
  big fork       average:,0.002115920,
  big fork    Child kbest:,0.001667447,
  big fork Child average:,0.002313705,
 huge fork          kbest:,0.003500885,
 huge fork       average:,0.004741860,
 huge fork    Child kbest:,0.003289532,
 huge fork Child average:,0.004940327,
small write          kbest:,0.000000810,
small write        average:,0.000000964,
small read          kbest:,0.000000322,
small read        average:,0.000000363,
small mmap          kbest:,0.000000399,
small mmap        average:,0.000000442,
small munmap          kbest:,0.000000750,
small munmap        average:,0.000000798,
small page fault          kbest:,0.000000625,
small page fault        average:,0.000000672,
 mid write          kbest:,0.000007074,
 mid write        average:,0.000007449,
  mid read          kbest:,0.000002793,
  mid read        average:,0.000003005,
  mid mmap          kbest:,0.000000384,
  mid mmap        average:,0.000000421,
mid munmap          kbest:,0.000002996,
mid munmap        average:,0.000003115,
mid page fault          kbest:,0.000001147,
mid page fault        average:,0.000001202,
 big write          kbest:,0.000790762,
 big write        average:,0.000813605,
  big read          kbest:,0.000364790,
  big read        average:,0.000373890,
  big mmap          kbest:,0.000000406,
  big mmap        average:,0.000000440,
big munmap          kbest:,0.000128832,
big munmap        average:,0.000132944,
big page fault          kbest:,0.000001677,
big page fault        average:,0.000001739,
huge write          kbest:,0.012830368,
huge write        average:,0.012956091,
 huge read          kbest:,0.018712000,
 huge read        average:,0.019297146,
 huge mmap          kbest:,0.000000415,
 huge mmap        average:,0.000000459,
huge munmap          kbest:,0.001357600,
huge munmap        average:,0.001377968,
huge page fault          kbest:,0.000001836,
huge page fault        average:,0.000001929,
    select          kbest:,0.000000626,
    select        average:,0.000000736,
      poll          kbest:,0.000000562,
      poll        average:,0.000000636,
     epoll          kbest:,0.000000785,
     epoll        average:,0.000000913,
select big          kbest:,0.000054993,
select big        average:,0.000063288,
  poll big          kbest:,0.000068296,
  poll big        average:,0.000076667,
 epoll big          kbest:,0.000091435,
 epoll big        average:,0.000103942, 
