OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000034,
       cpu          kbest:,0.003084582,
       cpu        average:,0.003108470,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000329,
      send        average:,0.000001164,
      recv          kbest:,0.000000477,
      recv        average:,0.000001493,
  big send          kbest:,0.000009677,
  big send        average:,0.000015003,
  big recv          kbest:,0.000014756,
  big recv        average:,0.000027347,
context siwtch          kbest:,0.000002881,
context siwtch        average:,0.000003712,
      fork          kbest:,0.000085085,
      fork       average:,0.000195588,
      fork    Child kbest:,0.000113847,
      fork Child average:,0.000294666,
thr create          kbest:,0.000007902,
thr create       average:,0.000019537,
thr create    Child kbest:,0.000011582,
thr create Child average:,0.000031522,
  big fork          kbest:,0.001588425,
  big fork       average:,0.002142547,
  big fork    Child kbest:,0.001657036,
  big fork Child average:,0.002346293,
 huge fork          kbest:,0.003422675,
 huge fork       average:,0.004754209,
 huge fork    Child kbest:,0.003556171,
 huge fork Child average:,0.004940156,
small write          kbest:,0.000000807,
small write        average:,0.000000972,
small read          kbest:,0.000000320,
small read        average:,0.000000366,
small mmap          kbest:,0.000000401,
small mmap        average:,0.000000428,
small munmap          kbest:,0.000000740,
small munmap        average:,0.000000794,
small page fault          kbest:,0.000000626,
small page fault        average:,0.000000678,
 mid write          kbest:,0.000007067,
 mid write        average:,0.000007417,
  mid read          kbest:,0.000002796,
  mid read        average:,0.000003359,
  mid mmap          kbest:,0.000000382,
  mid mmap        average:,0.000000411,
mid munmap          kbest:,0.000003013,
mid munmap        average:,0.000003109,
mid page fault          kbest:,0.000001148,
mid page fault        average:,0.000001185,
 big write          kbest:,0.000799468,
 big write        average:,0.000824291,
  big read          kbest:,0.000375018,
  big read        average:,0.000384853,
  big mmap          kbest:,0.000000409,
  big mmap        average:,0.000000444,
big munmap          kbest:,0.000130656,
big munmap        average:,0.000134098,
big page fault          kbest:,0.000001680,
big page fault        average:,0.000001751,
huge write          kbest:,0.012722514,
huge write        average:,0.012902049,
 huge read          kbest:,0.019060772,
 huge read        average:,0.019423626,
 huge mmap          kbest:,0.000000416,
 huge mmap        average:,0.000000441,
huge munmap          kbest:,0.001642216,
huge munmap        average:,0.001670159,
huge page fault          kbest:,0.000001677,
huge page fault        average:,0.000001763,
    select          kbest:,0.000000616,
    select        average:,0.000000710,
      poll          kbest:,0.000000556,
      poll        average:,0.000000644,
     epoll          kbest:,0.000000782,
     epoll        average:,0.000000915,
select big          kbest:,0.000055611,
select big        average:,0.000063400,
  poll big          kbest:,0.000069039,
  poll big        average:,0.000078265,
 epoll big          kbest:,0.000093794,
 epoll big        average:,0.000107806,
