OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084589,
       cpu        average:,0.003111664,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000082,
      send          kbest:,0.000000350,
      send        average:,0.000001245,
      recv          kbest:,0.000000481,
      recv        average:,0.000001446,
  big send          kbest:,0.000010372,
  big send        average:,0.000016086,
  big recv          kbest:,0.000016313,
  big recv        average:,0.000028109,
context siwtch          kbest:,0.000002893,
context siwtch        average:,0.000003736,
      fork          kbest:,0.000081966,
      fork       average:,0.000204043,
      fork    Child kbest:,0.000117628,
      fork Child average:,0.000304419,
thr create          kbest:,0.000008154,
thr create       average:,0.000021433,
thr create    Child kbest:,0.000011488,
thr create Child average:,0.000033061,
  big fork          kbest:,0.001807420,
  big fork       average:,0.002351335,
  big fork    Child kbest:,0.001844125,
  big fork Child average:,0.002540505,
 huge fork          kbest:,0.003725866,
 huge fork       average:,0.005055566,
 huge fork    Child kbest:,0.003846595,
 huge fork Child average:,0.005234357,
small write          kbest:,0.000000824,
small write        average:,0.000000975,
small read          kbest:,0.000000314,
small read        average:,0.000000357,
small mmap          kbest:,0.000000423,
small mmap        average:,0.000000464,
small munmap          kbest:,0.000000865,
small munmap        average:,0.000000929,
small page fault          kbest:,0.000000644,
small page fault        average:,0.000000699,
 mid write          kbest:,0.000007104,
 mid write        average:,0.000007503,
  mid read          kbest:,0.000002762,
  mid read        average:,0.000002960,
  mid mmap          kbest:,0.000000407,
  mid mmap        average:,0.000000450,
mid munmap          kbest:,0.000003350,
mid munmap        average:,0.000003509,
mid page fault          kbest:,0.000000643,
mid page fault        average:,0.000000664,
 big write          kbest:,0.000794348,
 big write        average:,0.000819529,
  big read          kbest:,0.000365373,
  big read        average:,0.000380419,
  big mmap          kbest:,0.000000409,
  big mmap        average:,0.000000438,
big munmap          kbest:,0.000138706,
big munmap        average:,0.000142268,
big page fault          kbest:,0.000000859,
big page fault        average:,0.000000920,
huge write          kbest:,0.012623484,
huge write        average:,0.012852273,
 huge read          kbest:,0.019189025,
 huge read        average:,0.019727997,
 huge mmap          kbest:,0.000000401,
 huge mmap        average:,0.000000426,
huge munmap          kbest:,0.001516928,
huge munmap        average:,0.001547139,
huge page fault          kbest:,0.000000850,
huge page fault        average:,0.000000905,
    select          kbest:,0.000000623,
    select        average:,0.000000714,
      poll          kbest:,0.000000556,
      poll        average:,0.000000678,
     epoll          kbest:,0.000000783,
     epoll        average:,0.000000939,
select big          kbest:,0.000051612,
select big        average:,0.000059204,
  poll big          kbest:,0.000064510,
  poll big        average:,0.000072289,
 epoll big          kbest:,0.000088524,
 epoll big        average:,0.000103674,
