OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000034,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003109123,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000079,
      send          kbest:,0.000000353,
      send        average:,0.000001149,
      recv          kbest:,0.000000481,
      recv        average:,0.000001415,
  big send          kbest:,0.000010504,
  big send        average:,0.000016222,
  big recv          kbest:,0.000015965,
  big recv        average:,0.000028915,
context siwtch          kbest:,0.000002876,
context siwtch        average:,0.000003702,
      fork          kbest:,0.000089408,
      fork       average:,0.000202381,
      fork    Child kbest:,0.000128191,
      fork Child average:,0.000305778,
thr create          kbest:,0.000007954,
thr create       average:,0.000021408,
thr create    Child kbest:,0.000012022,
thr create Child average:,0.000033012,
  big fork          kbest:,0.001737377,
  big fork       average:,0.002315211,
  big fork    Child kbest:,0.001748768,
  big fork Child average:,0.002515155,
 huge fork          kbest:,0.003540162,
 huge fork       average:,0.004976253,
 huge fork    Child kbest:,0.003414084,
 huge fork Child average:,0.005170385,
small write          kbest:,0.000000811,
small write        average:,0.000000959,
small read          kbest:,0.000000317,
small read        average:,0.000000344,
small mmap          kbest:,0.000000422,
small mmap        average:,0.000000451,
small munmap          kbest:,0.000000862,
small munmap        average:,0.000000911,
small page fault          kbest:,0.000000629,
small page fault        average:,0.000000681,
 mid write          kbest:,0.000007175,
 mid write        average:,0.000007541,
  mid read          kbest:,0.000002786,
  mid read        average:,0.000003011,
  mid mmap          kbest:,0.000000405,
  mid mmap        average:,0.000000439,
mid munmap          kbest:,0.000003367,
mid munmap        average:,0.000003543,
mid page fault          kbest:,0.000001175,
mid page fault        average:,0.000001256,
 big write          kbest:,0.000816250,
 big write        average:,0.000842766,
  big read          kbest:,0.000376904,
  big read        average:,0.000392327,
  big mmap          kbest:,0.000000428,
  big mmap        average:,0.000000472,
big munmap          kbest:,0.000140868,
big munmap        average:,0.000145282,
big page fault          kbest:,0.000001764,
big page fault        average:,0.000001839,
huge write          kbest:,0.012713717,
huge write        average:,0.012937328,
 huge read          kbest:,0.019174101,
 huge read        average:,0.019788934,
 huge mmap          kbest:,0.000000436,
 huge mmap        average:,0.000000476,
huge munmap          kbest:,0.001613433,
huge munmap        average:,0.001637528,
huge page fault          kbest:,0.000001759,
huge page fault        average:,0.000001835,
    select          kbest:,0.000000616,
    select        average:,0.000000707,
      poll          kbest:,0.000000554,
      poll        average:,0.000000647,
     epoll          kbest:,0.000000779,
     epoll        average:,0.000000882,
select big          kbest:,0.000051152,
select big        average:,0.000058440,
  poll big          kbest:,0.000064714,
  poll big        average:,0.000072611,
 epoll big          kbest:,0.000088669,
 epoll big        average:,0.000102060,
