OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084594,
       cpu        average:,0.003114693,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000355,
      send        average:,0.000001163,
      recv          kbest:,0.000000481,
      recv        average:,0.000001494,
  big send          kbest:,0.000010095,
  big send        average:,0.000016240,
  big recv          kbest:,0.000016308,
  big recv        average:,0.000029408,
context siwtch          kbest:,0.000002909,
context siwtch        average:,0.000003719,
      fork          kbest:,0.000083049,
      fork       average:,0.000200062,
      fork    Child kbest:,0.000127672,
      fork Child average:,0.000303091,
thr create          kbest:,0.000008237,
thr create       average:,0.000021211,
thr create    Child kbest:,0.000010701,
thr create Child average:,0.000032558,
  big fork          kbest:,0.001785261,
  big fork       average:,0.002321419,
  big fork    Child kbest:,0.001860154,
  big fork Child average:,0.002517808,
 huge fork          kbest:,0.003591774,
 huge fork       average:,0.004947281,
 huge fork    Child kbest:,0.003731715,
 huge fork Child average:,0.005142045,
small write          kbest:,0.000000808,
small write        average:,0.000000912,
small read          kbest:,0.000000312,
small read        average:,0.000000339,
small mmap          kbest:,0.000000423,
small mmap        average:,0.000000455,
small munmap          kbest:,0.000000866,
small munmap        average:,0.000000931,
small page fault          kbest:,0.000000627,
small page fault        average:,0.000000680,
 mid write          kbest:,0.000007141,
 mid write        average:,0.000007470,
  mid read          kbest:,0.000002764,
  mid read        average:,0.000002915,
  mid mmap          kbest:,0.000000409,
  mid mmap        average:,0.000000446,
mid munmap          kbest:,0.000003361,
mid munmap        average:,0.000003499,
mid page fault          kbest:,0.000001173,
mid page fault        average:,0.000001237,
 big write          kbest:,0.000802675,
 big write        average:,0.000822679,
  big read          kbest:,0.000372492,
  big read        average:,0.000383919,
  big mmap          kbest:,0.000000446,
  big mmap        average:,0.000000491,
big munmap          kbest:,0.000138260,
big munmap        average:,0.000141594,
big page fault          kbest:,0.000001750,
big page fault        average:,0.000001830,
huge write          kbest:,0.012671768,
huge write        average:,0.012892886,
 huge read          kbest:,0.019118538,
 huge read        average:,0.019527793,
 huge mmap          kbest:,0.000000437,
 huge mmap        average:,0.000000486,
huge munmap          kbest:,0.001464685,
huge munmap        average:,0.001488547,
huge page fault          kbest:,0.000001753,
huge page fault        average:,0.000001852,
    select          kbest:,0.000000623,
    select        average:,0.000000713,
      poll          kbest:,0.000000559,
      poll        average:,0.000000618,
     epoll          kbest:,0.000000781,
     epoll        average:,0.000000889,
select big          kbest:,0.000051685,
select big        average:,0.000058967,
  poll big          kbest:,0.000065278,
  poll big        average:,0.000072680,
 epoll big          kbest:,0.000088600,
 epoll big        average:,0.000103226,
