OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000030,
       cpu          kbest:,0.003084597,
       cpu        average:,0.003862689,
    getpid          kbest:,0.000000525,
    getpid        average:,0.000000538,
      send          kbest:,0.000000897,
      send        average:,0.000001968,
      recv          kbest:,0.000001180,
      recv        average:,0.000002111,
  big send          kbest:,0.000011044,
  big send        average:,0.000013275,
  big recv          kbest:,0.000024026,
  big recv        average:,0.000031806,
context siwtch          kbest:,0.000005470,
context siwtch        average:,0.000007121,
      fork          kbest:,0.000093988,
      fork       average:,0.000190715,
      fork    Child kbest:,0.000154721,
      fork Child average:,0.000319283,
thr create          kbest:,0.000011621,
thr create       average:,0.000026357,
thr create    Child kbest:,0.000016336,
thr create Child average:,0.000040693,
  big fork          kbest:,0.001805204,
  big fork       average:,0.002619546,
  big fork    Child kbest:,0.001945189,
  big fork Child average:,0.002783814,
 huge fork          kbest:,0.004458217,
 huge fork       average:,0.005918200,
 huge fork    Child kbest:,0.004649408,
 huge fork Child average:,0.006070141,
small write          kbest:,0.000001531,
small write        average:,0.000001835,
small read          kbest:,0.000000836,
small read        average:,0.000000885,
small mmap          kbest:,0.000000977,
small mmap        average:,0.000001025,
small munmap          kbest:,0.000001556,
small munmap        average:,0.000001630,
small page fault          kbest:,0.000001098,
small page fault        average:,0.000001534,
 mid write          kbest:,0.000008029,
 mid write        average:,0.000008337,
  mid read          kbest:,0.000003369,
  mid read        average:,0.000003573,
  mid mmap          kbest:,0.000000961,
  mid mmap        average:,0.000001148,
mid munmap          kbest:,0.000005368,
mid munmap        average:,0.000005604,
mid page fault          kbest:,0.000001687,
mid page fault        average:,0.000001751,
 big write          kbest:,0.000809370,
 big write        average:,0.000827871,
  big read          kbest:,0.000373681,
  big read        average:,0.000381199,
  big mmap          kbest:,0.000000963,
  big mmap        average:,0.000001008,
big munmap          kbest:,0.000133620,
big munmap        average:,0.000137274,
big page fault          kbest:,0.000002385,
big page fault        average:,0.000002668,
huge write          kbest:,0.013247374,
huge write        average:,0.013406127,
 huge read          kbest:,0.019662587,
 huge read        average:,0.019891671,
 huge mmap          kbest:,0.000000955,
 huge mmap        average:,0.000001006,
huge munmap          kbest:,0.001539095,
huge munmap        average:,0.001573469,
huge page fault          kbest:,0.000002383,
huge page fault        average:,0.000002746,
    select          kbest:,0.000001588,
    select        average:,0.000001738,
      poll          kbest:,0.000001571,
      poll        average:,0.000001672,
     epoll          kbest:,0.000001711,
     epoll        average:,0.000001864,
select big          kbest:,0.000115167,
select big        average:,0.000127699,
  poll big          kbest:,0.000128542,
  poll big        average:,0.000141688,
 epoll big          kbest:,0.000149280,
 epoll big        average:,0.000167759,
