OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000053,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003625460,
    getpid          kbest:,0.000000533,
    getpid        average:,0.000000544,
      send          kbest:,0.000000896,
      send        average:,0.000001926,
      recv          kbest:,0.000001189,
      recv        average:,0.000002128,
  big send          kbest:,0.000010306,
  big send        average:,0.000013194,
  big recv          kbest:,0.000020724,
  big recv        average:,0.000031936,
context siwtch          kbest:,0.000005467,
context siwtch        average:,0.000007037,
      fork          kbest:,0.000088791,
      fork       average:,0.000190486,
      fork    Child kbest:,0.000155657,
      fork Child average:,0.000320131,
thr create          kbest:,0.000011959,
thr create       average:,0.000026095,
thr create    Child kbest:,0.000017305,
thr create Child average:,0.000040245,
  big fork          kbest:,0.001881302,
  big fork       average:,0.002655689,
  big fork    Child kbest:,0.002032640,
  big fork Child average:,0.002820718,
 huge fork          kbest:,0.004610188,
 huge fork       average:,0.005904283,
 huge fork    Child kbest:,0.004772936,
 huge fork Child average:,0.006054842,
small write          kbest:,0.000001525,
small write        average:,0.000001828,
small read          kbest:,0.000000837,
small read        average:,0.000000883,
small mmap          kbest:,0.000000984,
small mmap        average:,0.000001031,
small munmap          kbest:,0.000001556,
small munmap        average:,0.000001598,
small page fault          kbest:,0.000001110,
small page fault        average:,0.000001147,
 mid write          kbest:,0.000007981,
 mid write        average:,0.000008247,
  mid read          kbest:,0.000003367,
  mid read        average:,0.000003581,
  mid mmap          kbest:,0.000000966,
  mid mmap        average:,0.000001008,
mid munmap          kbest:,0.000005329,
mid munmap        average:,0.000005511,
mid page fault          kbest:,0.000001701,
mid page fault        average:,0.000001769,
 big write          kbest:,0.000813522,
 big write        average:,0.000835191,
  big read          kbest:,0.000381379,
  big read        average:,0.000391023,
  big mmap          kbest:,0.000000968,
  big mmap        average:,0.000001017,
big munmap          kbest:,0.000134371,
big munmap        average:,0.000138311,
big page fault          kbest:,0.000002375,
big page fault        average:,0.000002683,
huge write          kbest:,0.013177539,
huge write        average:,0.013398195,
 huge read          kbest:,0.019754704,
 huge read        average:,0.019992807,
 huge mmap          kbest:,0.000000963,
 huge mmap        average:,0.000001007,
huge munmap          kbest:,0.001604808,
huge munmap        average:,0.001630756,
huge page fault          kbest:,0.000002364,
huge page fault        average:,0.000002702,
    select          kbest:,0.000001587,
    select        average:,0.000001723,
      poll          kbest:,0.000001546,
      poll        average:,0.000001691,
     epoll          kbest:,0.000001719,
     epoll        average:,0.000001911,
select big          kbest:,0.000115805,
select big        average:,0.000125819,
  poll big          kbest:,0.000125997,
  poll big        average:,0.000140890,
 epoll big          kbest:,0.000149420,
 epoll big        average:,0.000167197,
