,ref          kbest,ref        average,cpu          kbest,cpu        average,getpid          kbest,getpid        average,send          kbest,send        average,recv          kbest,recv        average,big send          kbest,big send        average,big recv          kbest,big recv        average,context siwtch          kbest,context siwtch        average,fork          kbest,fork       average,fork    Child kbest,fork Child average,thr create          kbest,thr create       average,thr create    Child kbest,thr create Child average,big fork          kbest,big fork       average,big fork    Child kbest,big fork Child average,huge fork          kbest,huge fork       average,huge fork    Child kbest,huge fork Child average,small write          kbest,small write        average,small read          kbest,small read        average,small mmap          kbest,small mmap        average,small munmap          kbest,small munmap        average,small page fault          kbest,small page fault        average,mid write          kbest,mid write        average,mid read          kbest,mid read        average,mid mmap          kbest,mid mmap        average,mid munmap          kbest,mid munmap        average,mid page fault          kbest,mid page fault        average,big write          kbest,big write        average,big read          kbest,big read        average,big mmap          kbest,big mmap        average,big munmap          kbest,big munmap        average,big page fault          kbest,big page fault        average,huge write          kbest,huge write        average,huge read          kbest,huge read        average,huge mmap          kbest,huge mmap        average,huge munmap          kbest,huge munmap        average,huge page fault          kbest,huge page fault        average,select          kbest,select        average,poll          kbest,poll        average,epoll          kbest,epoll        average,select big          kbest,select big        average,poll big          kbest,poll big        average,epoll big          kbest,epoll big        average,test_names,file_name
0,2.8e-08,4.4e-08,0.003084544,0.003652772,5.3e-07,5.43e-07,8.92e-07,1.987e-06,1.178e-06,2.12e-06,1.0901e-05,1.3213e-05,2.0153e-05,3.1995e-05,4.996e-06,6.1e-06,8.1341e-05,0.000185664,0.000173684,0.000320562,1.0522e-05,2.4105e-05,1.5596e-05,3.4732e-05,0.001816627,0.002634842,0.001987958,0.002789573,0.004639601,0.005855154,0.004786454,0.005997409,1.486e-06,1.756e-06,8.15e-07,8.55e-07,9.95e-07,1.26e-06,1.566e-06,1.607e-06,1.158e-06,1.206e-06,7.839e-06,8.061e-06,3.297e-06,3.498e-06,9.78e-07,1.028e-06,5.347e-06,5.535e-06,1.755e-06,1.8e-06,0.000807809,0.000827876,0.000375895,0.000383701,1.005e-06,1.042e-06,0.000132007,0.000135816,2.394e-06,2.732e-06,0.013166585,0.013462563,0.019656067,0.019959252,9.88e-07,1.027e-06,0.001484379,0.001519396,2.417e-06,2.765e-06,1.58e-06,1.759e-06,1.539e-06,1.695e-06,1.725e-06,1.962e-06,0.000115075,0.000126088,0.000125879,0.000137436,0.000149016,0.00016796,4.15.0-101-generic,task1-1.csv
1,2.8e-08,3.1e-08,0.003084591,0.003102524,5.27e-07,5.39e-07,8.95e-07,1.952e-06,1.178e-06,2.106e-06,1.1037e-05,1.3198e-05,2.0064e-05,3.1667e-05,5.469e-06,6.838e-06,9.4779e-05,0.000187143,0.000174305,0.000325212,1.209e-05,2.6755e-05,1.6272e-05,4.1481e-05,0.00188994,0.002666635,0.002033598,0.002831533,0.004561749,0.005928841,0.004726483,0.006080584,1.506e-06,1.809e-06,8.39e-07,8.68e-07,9.8e-07,1.037e-06,1.571e-06,1.623e-06,1.104e-06,1.154e-06,7.989e-06,8.277e-06,3.359e-06,3.574e-06,9.65e-07,9.98e-07,5.356e-06,5.528e-06,1.694e-06,1.748e-06,0.000816683,0.000837771,0.000381813,0.000388995,1.06e-06,1.113e-06,0.000131944,0.000135505,2.372e-06,2.67e-06,0.013120834,0.013372874,0.019387321,0.019709678,9.7e-07,1.009e-06,0.001439534,0.001479546,2.387e-06,2.785e-06,1.577e-06,1.777e-06,1.542e-06,1.711e-06,1.718e-06,1.93e-06,0.000115567,0.000128417,0.000125446,0.000138278,0.000148142,0.000167741,4.15.0-101-generic,task1-2.csv
2,2.8e-08,4.3e-08,0.003084592,0.003652541,5.28e-07,5.38e-07,8.97e-07,1.955e-06,1.183e-06,2.109e-06,1.0907e-05,1.3306e-05,2.0668e-05,3.1779e-05,5.471e-06,7.002e-06,9.1782e-05,0.000191122,0.000160541,0.000322265,1.1711e-05,2.6078e-05,1.6638e-05,3.9923e-05,0.00168073,0.002621039,0.001855882,0.002776625,0.004635514,0.005911103,0.004810989,0.006053687,1.51e-06,1.805e-06,8.52e-07,9.04e-07,9.77e-07,1.024e-06,1.545e-06,1.592e-06,1.1e-06,1.143e-06,7.963e-06,8.167e-06,3.351e-06,3.56e-06,9.59e-07,9.96e-07,5.348e-06,5.517e-06,1.692e-06,1.759e-06,0.000812132,0.000829309,0.000377619,0.000393816,9.65e-07,1.001e-06,0.000131287,0.000134537,2.377e-06,2.692e-06,0.013097455,0.013351621,0.019592237,0.019867849,9.52e-07,9.87e-07,0.001405594,0.001436125,2.373e-06,2.72e-06,1.581e-06,1.741e-06,1.539e-06,1.683e-06,1.716e-06,1.912e-06,0.000114447,0.000127466,0.000125239,0.000137439,0.000149408,0.000166891,4.15.0-101-generic,task1-3.csv
3,2.8e-08,5.3e-08,0.003084595,0.00362546,5.33e-07,5.44e-07,8.96e-07,1.926e-06,1.189e-06,2.128e-06,1.0306e-05,1.3194e-05,2.0724e-05,3.1936e-05,5.467e-06,7.037e-06,8.8791e-05,0.000190486,0.000155657,0.000320131,1.1959e-05,2.6095e-05,1.7305e-05,4.0245e-05,0.001881302,0.002655689,0.00203264,0.002820718,0.004610188,0.005904283,0.004772936,0.006054842,1.525e-06,1.828e-06,8.37e-07,8.83e-07,9.84e-07,1.031e-06,1.556e-06,1.598e-06,1.11e-06,1.147e-06,7.981e-06,8.247e-06,3.367e-06,3.581e-06,9.66e-07,1.008e-06,5.329e-06,5.511e-06,1.701e-06,1.769e-06,0.000813522,0.000835191,0.000381379,0.000391023,9.68e-07,1.017e-06,0.000134371,0.000138311,2.375e-06,2.683e-06,0.013177539,0.013398195,0.019754704,0.019992807,9.63e-07,1.007e-06,0.001604808,0.001630756,2.364e-06,2.702e-06,1.587e-06,1.723e-06,1.546e-06,1.691e-06,1.719e-06,1.911e-06,0.000115805,0.000125819,0.000125997,0.00014089,0.00014942,0.000167197,4.15.0-101-generic,task1-4.csv
4,2.8e-08,3.3e-08,0.003084595,0.003116579,7.7e-08,8.1e-08,3.55e-07,1.114e-06,4.81e-07,1.555e-06,1.0518e-05,1.6458e-05,1.6556e-05,2.9294e-05,2.898e-06,3.715e-06,8.3857e-05,0.00020503,0.000122517,0.000314082,8.219e-06,2.0956e-05,1.1371e-05,3.2831e-05,0.00176219,0.002330345,0.00181035,0.002538912,0.003634746,0.005034767,0.003778547,0.005229555,7.97e-07,9.69e-07,3.05e-07,3.41e-07,4.21e-07,4.68e-07,8.62e-07,9.12e-07,6.2e-07,6.68e-07,7.105e-06,7.395e-06,2.737e-06,3.017e-06,4.07e-07,4.57e-07,3.355e-06,3.505e-06,1.164e-06,1.21e-06,0.000798897,0.000823855,0.000367341,0.000377666,4.41e-07,4.91e-07,0.000136507,0.000141438,1.98e-06,2.058e-06,0.012652186,0.012853731,0.01909825,0.019599545,4.34e-07,4.72e-07,0.001464189,0.001484017,1.972e-06,2.087e-06,6.18e-07,7.14e-07,5.57e-07,6.74e-07,7.85e-07,9.11e-07,5.1051e-05,5.9172e-05,6.4791e-05,7.3097e-05,8.8247e-05,0.000100992,4.12.0-standard,task2-1.csv
5,2.8e-08,3.3e-08,0.003084591,0.003104847,7.6e-08,8e-08,3.59e-07,1.177e-06,4.79e-07,1.455e-06,1.0332e-05,1.5947e-05,1.625e-05,3.0145e-05,2.892e-06,3.735e-06,8.2542e-05,0.000200186,0.00011582,0.000302665,8.394e-06,2.1083e-05,1.1231e-05,3.2653e-05,0.00177156,0.002307334,0.001850205,0.002508595,0.003493337,0.004920897,0.003634883,0.005110122,8.51e-07,1.008e-06,3.17e-07,3.6e-07,4.17e-07,4.64e-07,8.6e-07,9.17e-07,6.25e-07,6.57e-07,7.166e-06,7.511e-06,2.772e-06,2.966e-06,4.04e-07,4.39e-07,3.357e-06,3.516e-06,1.167e-06,1.237e-06,0.000808539,0.000835003,0.000373639,0.000387191,4.31e-07,4.66e-07,0.000139007,0.000142931,1.754e-06,1.844e-06,0.012681936,0.01296789,0.019194852,0.019736695,4.41e-07,4.71e-07,0.001467299,0.001491774,1.758e-06,1.848e-06,6.23e-07,6.83e-07,5.55e-07,6.32e-07,7.81e-07,8.99e-07,5.1276e-05,5.7931e-05,6.4741e-05,7.3387e-05,8.7828e-05,0.000100506,4.12.0-standard,task2-2.csv
6,2.8e-08,3.3e-08,0.003084592,0.003130503,7.6e-08,8.1e-08,3.58e-07,1.172e-06,4.77e-07,1.541e-06,1.0055e-05,1.6521e-05,1.6632e-05,2.8601e-05,2.898e-06,3.721e-06,8.65e-05,0.000201977,0.000117494,0.00030803,8.917e-06,2.1138e-05,1.1768e-05,3.3419e-05,0.001767276,0.002305655,0.001679559,0.002511892,0.003575159,0.004952138,0.003702604,0.005147413,8.06e-07,9.2e-07,3.16e-07,3.53e-07,4.22e-07,4.61e-07,8.61e-07,9.05e-07,6.25e-07,6.67e-07,7.17e-06,7.495e-06,2.776e-06,3.014e-06,4.06e-07,4.36e-07,3.357e-06,3.53e-06,1.171e-06,1.273e-06,0.000810886,0.000839251,0.000374712,0.000388453,4.3e-07,4.75e-07,0.000138245,0.000142607,1.763e-06,1.866e-06,0.012700248,0.012964388,0.019192036,0.01978545,4.36e-07,4.79e-07,0.00145378,0.001487197,1.973e-06,2.09e-06,6.17e-07,7e-07,5.8e-07,6.66e-07,7.78e-07,9.63e-07,5.1059e-05,5.8527e-05,6.5349e-05,7.5308e-05,8.7863e-05,0.000102118,4.12.0-standard,task2-3.csv
7,2.8e-08,3.3e-08,0.003084594,0.003114693,7.8e-08,8e-08,3.55e-07,1.163e-06,4.81e-07,1.494e-06,1.0095e-05,1.624e-05,1.6308e-05,2.9408e-05,2.909e-06,3.719e-06,8.3049e-05,0.000200062,0.000127672,0.000303091,8.237e-06,2.1211e-05,1.0701e-05,3.2558e-05,0.001785261,0.002321419,0.001860154,0.002517808,0.003591774,0.004947281,0.003731715,0.005142045,8.08e-07,9.12e-07,3.12e-07,3.39e-07,4.23e-07,4.55e-07,8.66e-07,9.31e-07,6.27e-07,6.8e-07,7.141e-06,7.47e-06,2.764e-06,2.915e-06,4.09e-07,4.46e-07,3.361e-06,3.499e-06,1.173e-06,1.237e-06,0.000802675,0.000822679,0.000372492,0.000383919,4.46e-07,4.91e-07,0.00013826,0.000141594,1.75e-06,1.83e-06,0.012671768,0.012892886,0.019118538,0.019527793,4.37e-07,4.86e-07,0.001464685,0.001488547,1.753e-06,1.852e-06,6.23e-07,7.13e-07,5.59e-07,6.18e-07,7.81e-07,8.89e-07,5.1685e-05,5.8967e-05,6.5278e-05,7.268e-05,8.86e-05,0.000103226,4.12.0-standard,task2-4.csv
8,2.8e-08,3.2e-08,0.00308459,0.003108484,7.8e-08,8.1e-08,3.59e-07,1.243e-06,4.83e-07,1.373e-06,1.1216e-05,1.6154e-05,1.6195e-05,2.8841e-05,2.893e-06,3.719e-06,8.5153e-05,0.000201974,0.00011939,0.000297513,8.467e-06,2.1476e-05,1.1236e-05,3.2819e-05,0.001783298,0.002332698,0.001740539,0.002527122,0.003645367,0.005037691,0.003721009,0.005214274,7.95e-07,9.55e-07,3.03e-07,3.41e-07,4.25e-07,4.56e-07,8.68e-07,9.21e-07,6.32e-07,6.64e-07,7.045e-06,7.423e-06,2.705e-06,2.926e-06,4.08e-07,4.45e-07,3.364e-06,3.518e-06,6.35e-07,6.79e-07,0.000780728,0.000803982,0.000353623,0.000359354,4.34e-07,4.72e-07,0.000137187,0.000141098,8.57e-07,9.16e-07,0.012606032,0.0129086,0.01907276,0.019569739,4.39e-07,4.91e-07,0.00142197,0.001442566,8.68e-07,9.07e-07,6.23e-07,7.02e-07,5.62e-07,6.3e-07,7.82e-07,9.18e-07,5.1507e-05,5.8191e-05,6.4437e-05,7.3683e-05,8.818e-05,0.000101497,4.12.0-patch,task3-1.csv
9,2.8e-08,3.5e-08,0.003084587,0.00310345,7.8e-08,8.1e-08,3.6e-07,1.196e-06,4.84e-07,1.513e-06,1.0202e-05,1.6788e-05,1.603e-05,2.9624e-05,2.899e-06,3.716e-06,9.1708e-05,0.000206979,0.000117957,0.000305199,8.51e-06,2.1533e-05,1.2065e-05,3.2844e-05,0.001799896,0.002321635,0.001742812,0.002514915,0.003699781,0.005031394,0.003834749,0.005211303,8.11e-07,9.74e-07,3.16e-07,3.39e-07,4.23e-07,4.61e-07,8.68e-07,9.23e-07,6.44e-07,6.83e-07,7.137e-06,7.496e-06,2.765e-06,2.975e-06,4.05e-07,4.48e-07,3.363e-06,3.542e-06,6.44e-07,7.04e-07,0.000796721,0.000825671,0.000364367,0.000378849,4.33e-07,4.7e-07,0.000138084,0.000143169,8.62e-07,9.09e-07,0.012690921,0.012930884,0.019113697,0.01963906,4.36e-07,4.85e-07,0.001437833,0.001455812,8.6e-07,9.12e-07,6.24e-07,6.94e-07,5.65e-07,6.4e-07,7.81e-07,9.08e-07,5.131e-05,5.9023e-05,6.4366e-05,7.3174e-05,8.8128e-05,0.000101746,4.12.0-patch,task3-2.csv
