OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.003084591,
       cpu        average:,0.003102524,
    getpid          kbest:,0.000000527,
    getpid        average:,0.000000539,
      send          kbest:,0.000000895,
      send        average:,0.000001952,
      recv          kbest:,0.000001178,
      recv        average:,0.000002106,
  big send          kbest:,0.000011037,
  big send        average:,0.000013198,
  big recv          kbest:,0.000020064,
  big recv        average:,0.000031667,
context siwtch          kbest:,0.000005469,
context siwtch        average:,0.000006838,
      fork          kbest:,0.000094779,
      fork       average:,0.000187143,
      fork    Child kbest:,0.000174305,
      fork Child average:,0.000325212,
thr create          kbest:,0.000012090,
thr create       average:,0.000026755,
thr create    Child kbest:,0.000016272,
thr create Child average:,0.000041481,
  big fork          kbest:,0.001889940,
  big fork       average:,0.002666635,
  big fork    Child kbest:,0.002033598,
  big fork Child average:,0.002831533,
 huge fork          kbest:,0.004561749,
 huge fork       average:,0.005928841,
 huge fork    Child kbest:,0.004726483,
 huge fork Child average:,0.006080584,
small write          kbest:,0.000001506,
small write        average:,0.000001809,
small read          kbest:,0.000000839,
small read        average:,0.000000868,
small mmap          kbest:,0.000000980,
small mmap        average:,0.000001037,
small munmap          kbest:,0.000001571,
small munmap        average:,0.000001623,
small page fault          kbest:,0.000001104,
small page fault        average:,0.000001154,
 mid write          kbest:,0.000007989,
 mid write        average:,0.000008277,
  mid read          kbest:,0.000003359,
  mid read        average:,0.000003574,
  mid mmap          kbest:,0.000000965,
  mid mmap        average:,0.000000998,
mid munmap          kbest:,0.000005356,
mid munmap        average:,0.000005528,
mid page fault          kbest:,0.000001694,
mid page fault        average:,0.000001748,
 big write          kbest:,0.000816683,
 big write        average:,0.000837771,
  big read          kbest:,0.000381813,
  big read        average:,0.000388995,
  big mmap          kbest:,0.000001060,
  big mmap        average:,0.000001113,
big munmap          kbest:,0.000131944,
big munmap        average:,0.000135505,
big page fault          kbest:,0.000002372,
big page fault        average:,0.000002670,
huge write          kbest:,0.013120834,
huge write        average:,0.013372874,
 huge read          kbest:,0.019387321,
 huge read        average:,0.019709678,
 huge mmap          kbest:,0.000000970,
 huge mmap        average:,0.000001009,
huge munmap          kbest:,0.001439534,
huge munmap        average:,0.001479546,
huge page fault          kbest:,0.000002387,
huge page fault        average:,0.000002785,
    select          kbest:,0.000001577,
    select        average:,0.000001777,
      poll          kbest:,0.000001542,
      poll        average:,0.000001711,
     epoll          kbest:,0.000001718,
     epoll        average:,0.000001930,
select big          kbest:,0.000115567,
select big        average:,0.000128417,
  poll big          kbest:,0.000125446,
  poll big        average:,0.000138278,
 epoll big          kbest:,0.000148142,
 epoll big        average:,0.000167741,
