OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000021,
       ref        average:,0.000000023,
       cpu          kbest:,0.002481318,
       cpu        average:,0.002483579,
    getpid          kbest:,0.000000420,
    getpid        average:,0.000000428,
      send          kbest:,0.000001211,
      send        average:,0.000002050,
      recv          kbest:,0.000000956,
      recv        average:,0.000002196,
  big send          kbest:,0.000011383,
  big send        average:,0.000018661,
  big recv          kbest:,0.000011823,
  big recv        average:,0.000025830,
context siwtch          kbest:,0.000004066,
context siwtch        average:,0.000004932,
      fork          kbest:,0.000085306,
      fork       average:,0.000192679,
      fork    Child kbest:,0.000172281,
      fork Child average:,0.000293677,
thr create          kbest:,0.000011759,
thr create       average:,0.000026178,
thr create    Child kbest:,0.000017210,
thr create Child average:,0.000044284,
  big fork          kbest:,0.001704051,
  big fork       average:,0.003174419,
  big fork    Child kbest:,0.001797805,
  big fork Child average:,0.003312835,
 huge fork          kbest:,0.002722201,
 huge fork       average:,0.006869312,
 huge fork    Child kbest:,0.002808341,
 huge fork Child average:,0.007017865,
small write          kbest:,0.000000983,
small write        average:,0.000001047,
small read          kbest:,0.000000654,
small read        average:,0.000000682,
small mmap          kbest:,0.000000792,
small mmap        average:,0.000000825,
small munmap          kbest:,0.000001247,
small munmap        average:,0.000001286,
small page fault          kbest:,0.000000866,
small page fault        average:,0.000000881,
 mid write          kbest:,0.000005855,
 mid write        average:,0.000006117,
  mid read          kbest:,0.000002830,
  mid read        average:,0.000003035,
  mid mmap          kbest:,0.000000852,
  mid mmap        average:,0.000000893,
mid munmap          kbest:,0.000004238,
mid munmap        average:,0.000004427,
mid page fault          kbest:,0.000001332,
mid page fault        average:,0.000001386,
 big write          kbest:,0.000603825,
 big write        average:,0.000666090,
  big read          kbest:,0.000321003,
  big read        average:,0.000322718,
  big mmap          kbest:,0.000000803,
  big mmap        average:,0.000000834,
big munmap          kbest:,0.000103770,
big munmap        average:,0.000105074,
big page fault          kbest:,0.000001877,
big page fault        average:,0.000002119,
huge write          kbest:,0.013864488,
huge write        average:,0.014289637,
 huge read          kbest:,0.019549964,
 huge read        average:,0.019657574,
 huge mmap          kbest:,0.000000781,
 huge mmap        average:,0.000000805,
huge munmap          kbest:,0.001198087,
huge munmap        average:,0.001233272,
huge page fault          kbest:,0.000002103,
huge page fault        average:,0.000003003,
    select          kbest:,0.000001207,
    select        average:,0.000001301,
      poll          kbest:,0.000001105,
      poll        average:,0.000001189,
     epoll          kbest:,0.000001108,
     epoll        average:,0.000001243,
select big          kbest:,0.000099826,
select big        average:,0.000105561,
  poll big          kbest:,0.000097521,
  poll big        average:,0.000105556,
 epoll big          kbest:,0.000099417,
 epoll big        average:,0.000104361,
