OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000021,
       ref        average:,0.000000023,
       cpu          kbest:,0.002481326,
       cpu        average:,0.002487435,
    getpid          kbest:,0.000000424,
    getpid        average:,0.000000430,
      send          kbest:,0.000001072,
      send        average:,0.000002029,
      recv          kbest:,0.000000743,
      recv        average:,0.000002112,
  big send          kbest:,0.000010584,
  big send        average:,0.000018679,
  big recv          kbest:,0.000011785,
  big recv        average:,0.000026300,
context siwtch          kbest:,0.000004826,
context siwtch        average:,0.000004917,
      fork          kbest:,0.000095034,
      fork       average:,0.000189318,
      fork    Child kbest:,0.000155494,
      fork Child average:,0.000289966,
thr create          kbest:,0.000012318,
thr create       average:,0.000025886,
thr create    Child kbest:,0.000017912,
thr create Child average:,0.000044609,
  big fork          kbest:,0.002272281,
  big fork       average:,0.003149626,
  big fork    Child kbest:,0.002402157,
  big fork Child average:,0.003277302,
 huge fork          kbest:,0.004238188,
 huge fork       average:,0.006943420,
 huge fork    Child kbest:,0.004003506,
 huge fork Child average:,0.007076276,
small write          kbest:,0.000001187,
small write        average:,0.000001274,
small read          kbest:,0.000000656,
small read        average:,0.000000690,
small mmap          kbest:,0.000000794,
small mmap        average:,0.000000817,
small munmap          kbest:,0.000001329,
small munmap        average:,0.000001360,
small page fault          kbest:,0.000000888,
small page fault        average:,0.000000915,
 mid write          kbest:,0.000006053,
 mid write        average:,0.000006313,
  mid read          kbest:,0.000002568,
  mid read        average:,0.000002737,
  mid mmap          kbest:,0.000000782,
  mid mmap        average:,0.000000806,
mid munmap          kbest:,0.000004364,
mid munmap        average:,0.000004529,
mid page fault          kbest:,0.000001369,
mid page fault        average:,0.000001402,
 big write          kbest:,0.000631277,
 big write        average:,0.000638862,
  big read          kbest:,0.000332975,
  big read        average:,0.000334903,
  big mmap          kbest:,0.000000780,
  big mmap        average:,0.000000810,
big munmap          kbest:,0.000106582,
big munmap        average:,0.000107957,
big page fault          kbest:,0.000001907,
big page fault        average:,0.000002419,
huge write          kbest:,0.013745785,
huge write        average:,0.013937513,
 huge read          kbest:,0.019509180,
 huge read        average:,0.019843522,     
 huge mmap          kbest:,0.000000777,
 huge mmap        average:,0.000000809,
huge munmap          kbest:,0.001281992,
huge munmap        average:,0.001359229,
huge page fault          kbest:,0.000001903,
huge page fault        average:,0.000002215,
    select          kbest:,0.000001213,
    select        average:,0.000001312,
      poll          kbest:,0.000001106,
      poll        average:,0.000001194,
     epoll          kbest:,0.000001105,
     epoll        average:,0.000001248,
select big          kbest:,0.000101382,
select big        average:,0.000110565,
  poll big          kbest:,0.000097701,
  poll big        average:,0.000105055,
 epoll big          kbest:,0.000099819,
 epoll big        average:,0.000107910,
