OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084591,
       cpu        average:,0.003104847,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000080,
      send          kbest:,0.000000359,
      send        average:,0.000001177,
      recv          kbest:,0.000000479,
      recv        average:,0.000001455,
  big send          kbest:,0.000010332,
  big send        average:,0.000015947,
  big recv          kbest:,0.000016250,
  big recv        average:,0.000030145,
context siwtch          kbest:,0.000002892,
context siwtch        average:,0.000003735,
      fork          kbest:,0.000082542,
      fork       average:,0.000200186,
      fork    Child kbest:,0.000115820,
      fork Child average:,0.000302665,
thr create          kbest:,0.000008394,
thr create       average:,0.000021083,
thr create    Child kbest:,0.000011231,
thr create Child average:,0.000032653,
  big fork          kbest:,0.001771560,
  big fork       average:,0.002307334,
  big fork    Child kbest:,0.001850205,
  big fork Child average:,0.002508595,
 huge fork          kbest:,0.003493337,
 huge fork       average:,0.004920897,
 huge fork    Child kbest:,0.003634883,
 huge fork Child average:,0.005110122,
small write          kbest:,0.000000851,
small write        average:,0.000001008,
small read          kbest:,0.000000317,
small read        average:,0.000000360,
small mmap          kbest:,0.000000417,
small mmap        average:,0.000000464,
small munmap          kbest:,0.000000860,
small munmap        average:,0.000000917,
small page fault          kbest:,0.000000625,
small page fault        average:,0.000000657,
 mid write          kbest:,0.000007166,
 mid write        average:,0.000007511,
  mid read          kbest:,0.000002772,
  mid read        average:,0.000002966,
  mid mmap          kbest:,0.000000404,
  mid mmap        average:,0.000000439,
mid munmap          kbest:,0.000003357,
mid munmap        average:,0.000003516,
mid page fault          kbest:,0.000001167,
mid page fault        average:,0.000001237,
 big write          kbest:,0.000808539,
 big write        average:,0.000835003,
  big read          kbest:,0.000373639,
  big read        average:,0.000387191,
  big mmap          kbest:,0.000000431,
  big mmap        average:,0.000000466,
big munmap          kbest:,0.000139007,
big munmap        average:,0.000142931,
big page fault          kbest:,0.000001754,
big page fault        average:,0.000001844,
huge write          kbest:,0.012681936,
huge write        average:,0.012967890,
 huge read          kbest:,0.019194852,
 huge read        average:,0.019736695,
 huge mmap          kbest:,0.000000441,
 huge mmap        average:,0.000000471,
huge munmap          kbest:,0.001467299,
huge munmap        average:,0.001491774,
huge page fault          kbest:,0.000001758,
huge page fault        average:,0.000001848,
    select          kbest:,0.000000623,
    select        average:,0.000000683,
      poll          kbest:,0.000000555,
      poll        average:,0.000000632,
     epoll          kbest:,0.000000781,
     epoll        average:,0.000000899,
select big          kbest:,0.000051276,
select big        average:,0.000057931,
  poll big          kbest:,0.000064741,
  poll big        average:,0.000073387,
 epoll big          kbest:,0.000087828,
 epoll big        average:,0.000100506,
