OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003116579,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000081,
      send          kbest:,0.000000355,
      send        average:,0.000001114,
      recv          kbest:,0.000000481,
      recv        average:,0.000001555,
  big send          kbest:,0.000010518,
  big send        average:,0.000016458,
  big recv          kbest:,0.000016556,
  big recv        average:,0.000029294,
context siwtch          kbest:,0.000002898,
context siwtch        average:,0.000003715,
      fork          kbest:,0.000083857,
      fork       average:,0.000205030,
      fork    Child kbest:,0.000122517,
      fork Child average:,0.000314082,
thr create          kbest:,0.000008219,
thr create       average:,0.000020956,
thr create    Child kbest:,0.000011371,
thr create Child average:,0.000032831,
  big fork          kbest:,0.001762190,
  big fork       average:,0.002330345,
  big fork    Child kbest:,0.001810350,
  big fork Child average:,0.002538912,
 huge fork          kbest:,0.003634746,
 huge fork       average:,0.005034767,
 huge fork    Child kbest:,0.003778547,
 huge fork Child average:,0.005229555,
small write          kbest:,0.000000797,
small write        average:,0.000000969,
small read          kbest:,0.000000305,
small read        average:,0.000000341,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000468,
small munmap          kbest:,0.000000862,
small munmap        average:,0.000000912,
small page fault          kbest:,0.000000620,
small page fault        average:,0.000000668,
 mid write          kbest:,0.000007105,
 mid write        average:,0.000007395,
  mid read          kbest:,0.000002737,
  mid read        average:,0.000003017,
  mid mmap          kbest:,0.000000407,
  mid mmap        average:,0.000000457,
mid munmap          kbest:,0.000003355,
mid munmap        average:,0.000003505,
mid page fault          kbest:,0.000001164,
mid page fault        average:,0.000001210,
 big write          kbest:,0.000798897,
 big write        average:,0.000823855,
  big read          kbest:,0.000367341,
  big read        average:,0.000377666,
  big mmap          kbest:,0.000000441,
  big mmap        average:,0.000000491,
big munmap          kbest:,0.000136507,
big munmap        average:,0.000141438,
big page fault          kbest:,0.000001980,
big page fault        average:,0.000002058,
huge write          kbest:,0.012652186,
huge write        average:,0.012853731,
 huge read          kbest:,0.019098250,
 huge read        average:,0.019599545,
 huge mmap          kbest:,0.000000434,
 huge mmap        average:,0.000000472,
huge munmap          kbest:,0.001464189,
huge munmap        average:,0.001484017,
huge page fault          kbest:,0.000001972,
huge page fault        average:,0.000002087,
    select          kbest:,0.000000618,
    select        average:,0.000000714,
      poll          kbest:,0.000000557,
      poll        average:,0.000000674,
     epoll          kbest:,0.000000785,
     epoll        average:,0.000000911,
select big          kbest:,0.000051051,
select big        average:,0.000059172,
  poll big          kbest:,0.000064791,
  poll big        average:,0.000073097,
 epoll big          kbest:,0.000088247,
 epoll big        average:,0.000100992,
