OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000035,
       cpu          kbest:,0.003084587,
       cpu        average:,0.003103450,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000081,
      send          kbest:,0.000000360,
      send        average:,0.000001196,
      recv          kbest:,0.000000484,
      recv        average:,0.000001513,
  big send          kbest:,0.000010202,
  big send        average:,0.000016788,
  big recv          kbest:,0.000016030,
  big recv        average:,0.000029624,
context siwtch          kbest:,0.000002899,
context siwtch        average:,0.000003716,
      fork          kbest:,0.000091708,
      fork       average:,0.000206979,
      fork    Child kbest:,0.000117957,
      fork Child average:,0.000305199,
thr create          kbest:,0.000008510,
thr create       average:,0.000021533,
thr create    Child kbest:,0.000012065,
thr create Child average:,0.000032844,
  big fork          kbest:,0.001799896,
  big fork       average:,0.002321635,
  big fork    Child kbest:,0.001742812,
  big fork Child average:,0.002514915,
 huge fork          kbest:,0.003699781,
 huge fork       average:,0.005031394,
 huge fork    Child kbest:,0.003834749,
 huge fork Child average:,0.005211303,
small write          kbest:,0.000000811,
small write        average:,0.000000974,
small read          kbest:,0.000000316,
small read        average:,0.000000339,
small mmap          kbest:,0.000000423,
small mmap        average:,0.000000461,
small munmap          kbest:,0.000000868,
small munmap        average:,0.000000923,
small page fault          kbest:,0.000000644,
small page fault        average:,0.000000683,
 mid write          kbest:,0.000007137,
 mid write        average:,0.000007496,
  mid read          kbest:,0.000002765,
  mid read        average:,0.000002975,
  mid mmap          kbest:,0.000000405,
  mid mmap        average:,0.000000448,
mid munmap          kbest:,0.000003363,
mid munmap        average:,0.000003542,
mid page fault          kbest:,0.000000644,
mid page fault        average:,0.000000704,
 big write          kbest:,0.000796721,
 big write        average:,0.000825671,
  big read          kbest:,0.000364367,
  big read        average:,0.000378849,
  big mmap          kbest:,0.000000433,
  big mmap        average:,0.000000470,
big munmap          kbest:,0.000138084,
big munmap        average:,0.000143169,
big page fault          kbest:,0.000000862,
big page fault        average:,0.000000909,
huge write          kbest:,0.012690921,
huge write        average:,0.012930884,
 huge read          kbest:,0.019113697,
 huge read        average:,0.019639060,
 huge mmap          kbest:,0.000000436,
 huge mmap        average:,0.000000485,
huge munmap          kbest:,0.001437833,
huge munmap        average:,0.001455812,
huge page fault          kbest:,0.000000860,
huge page fault        average:,0.000000912,
    select          kbest:,0.000000624,
    select        average:,0.000000694,
      poll          kbest:,0.000000565,
      poll        average:,0.000000640,
     epoll          kbest:,0.000000781,
     epoll        average:,0.000000908,
select big          kbest:,0.000051310,
select big        average:,0.000059023,
  poll big          kbest:,0.000064366,
  poll big        average:,0.000073174,
 epoll big          kbest:,0.000088128,
 epoll big        average:,0.000101746,
