OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.003084586,
       cpu        average:,0.003117948,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000081,
      send          kbest:,0.000000361,
      send        average:,0.000001180,
      recv          kbest:,0.000000477,
      recv        average:,0.000001539,
  big send          kbest:,0.000010244,
  big send        average:,0.000016522,
  big recv          kbest:,0.000016107,
  big recv        average:,0.000030789,
context siwtch          kbest:,0.000002912,
context siwtch        average:,0.000003744,
      fork          kbest:,0.000087292,
      fork       average:,0.000204056,
      fork    Child kbest:,0.000122795,
      fork Child average:,0.000301202,
thr create          kbest:,0.000007878,
thr create       average:,0.000021031,
thr create    Child kbest:,0.000010986,
thr create Child average:,0.000032766,
  big fork          kbest:,0.001816346,
  big fork       average:,0.002352223,
  big fork    Child kbest:,0.001850213,
  big fork Child average:,0.002540553,
 huge fork          kbest:,0.003652970,
 huge fork       average:,0.005017663,
 huge fork    Child kbest:,0.003714832,
 huge fork Child average:,0.005199258,
small write          kbest:,0.000000837,
small write        average:,0.000000969,
small read          kbest:,0.000000315,
small read        average:,0.000000343,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000464,
small munmap          kbest:,0.000000866,
small munmap        average:,0.000000944,
small page fault          kbest:,0.000000644,
small page fault        average:,0.000000667,
 mid write          kbest:,0.000007119,
 mid write        average:,0.000007497,
  mid read          kbest:,0.000002875,
  mid read        average:,0.000003109,
  mid mmap          kbest:,0.000000404,
  mid mmap        average:,0.000000433,
mid munmap          kbest:,0.000003351,
mid munmap        average:,0.000003502,
mid page fault          kbest:,0.000000644,
mid page fault        average:,0.000000675,
 big write          kbest:,0.000789249,
 big write        average:,0.000814665,
  big read          kbest:,0.000360543,
  big read        average:,0.000373889,
  big mmap          kbest:,0.000000405,
  big mmap        average:,0.000000444,
big munmap          kbest:,0.000137916,
big munmap        average:,0.000141127,
big page fault          kbest:,0.000000857,
big page fault        average:,0.000000897,
huge write          kbest:,0.012591116,
huge write        average:,0.012842682,
 huge read          kbest:,0.019136201,
 huge read        average:,0.019711789,
 huge mmap          kbest:,0.000000400,
 huge mmap        average:,0.000000432,
huge munmap          kbest:,0.001436072,
huge munmap        average:,0.001453586,
huge page fault          kbest:,0.000000851,
huge page fault        average:,0.000000903,
    select          kbest:,0.000000623,
    select        average:,0.000000707,
      poll          kbest:,0.000000560,
      poll        average:,0.000000670,
     epoll          kbest:,0.000000777,
     epoll        average:,0.000000893,
select big          kbest:,0.000051441,
select big        average:,0.000058417,
  poll big          kbest:,0.000064390,
  poll big        average:,0.000070996,
 epoll big          kbest:,0.000088556,
 epoll big        average:,0.000100975,
