OS Benchmark experiment
Test Name:,4.12.0-fault-around,
       ref          kbest:,0.000000023,
       ref        average:,0.000000035,
       cpu          kbest:,0.003394450,
       cpu        average:,0.003397665,
    getpid          kbest:,0.000000063,
    getpid        average:,0.000000076,
      send          kbest:,0.000000260,
      send        average:,0.000000781,
      recv          kbest:,0.000000536,
      recv        average:,0.000001109,
  big send          kbest:,0.000010655,
  big send        average:,0.000016502,
  big recv          kbest:,0.000014938,
  big recv        average:,0.000023151,
context siwtch          kbest:,0.000002122,
context siwtch        average:,0.000002306,
      fork          kbest:,0.000057080,
      fork       average:,0.000152328,
      fork    Child kbest:,0.000073812,
      fork Child average:,0.000201559,
thr create          kbest:,0.000004486,
thr create       average:,0.000011922,
thr create    Child kbest:,0.000006243,
thr create Child average:,0.000018968,
  big fork          kbest:,0.001317455,
  big fork       average:,0.002217027,
  big fork    Child kbest:,0.001392829,
  big fork Child average:,0.002307442,
 huge fork          kbest:,0.002992686,
 huge fork       average:,0.005241605,
 huge fork    Child kbest:,0.003110213,
 huge fork Child average:,0.005345364,
small write          kbest:,0.000000639,
small write        average:,0.000000782,
small read          kbest:,0.000000240,
small read        average:,0.000000252,
small mmap          kbest:,0.000000348,
small mmap        average:,0.000000384,
small munmap          kbest:,0.000000665,
small munmap        average:,0.000000823,
small page fault          kbest:,0.000000513,
small page fault        average:,0.000000523,
 mid write          kbest:,0.000005329,
 mid write        average:,0.000005614,
  mid read          kbest:,0.000002189,
  mid read        average:,0.000002270,
  mid mmap          kbest:,0.000000334,
  mid mmap        average:,0.000000349,
mid munmap          kbest:,0.000002825,
mid munmap        average:,0.000002949,
mid page fault          kbest:,0.000000517,
mid page fault        average:,0.000000537,
 big write          kbest:,0.000591827,
 big write        average:,0.000614393,
  big read          kbest:,0.000296026,
  big read        average:,0.000318581,
  big mmap          kbest:,0.000000355,
  big mmap        average:,0.000000365,
big munmap          kbest:,0.000113134,
big munmap        average:,0.000114141,
big page fault          kbest:,0.000000651,
big page fault        average:,0.000000668,
huge write          kbest:,0.013237638,
huge write        average:,0.014218488,
 huge read          kbest:,0.019296588,
 huge read        average:,0.020370107,
 huge mmap          kbest:,0.000000354,
 huge mmap        average:,0.000000377,
huge munmap          kbest:,0.001346252,
huge munmap        average:,0.001371425,
huge page fault          kbest:,0.000000786,
huge page fault        average:,0.000000825,
    select          kbest:,0.000000476,
    select        average:,0.000000512,
      poll          kbest:,0.000000353,
      poll        average:,0.000000393,
     epoll          kbest:,0.000000375,
     epoll        average:,0.000000418,
select big          kbest:,0.000043576,
select big        average:,0.000045418,
  poll big          kbest:,0.000044117,
  poll big        average:,0.000046660,
 epoll big          kbest:,0.000043255,
 epoll big        average:,0.000048247,
