OS Benchmark experiment
Test Name:,4.12.0-fault-around,
       ref          kbest:,0.000000023,
       ref        average:,0.000000029,
       cpu          kbest:,0.003394451,
       cpu        average:,0.003397356,
    getpid          kbest:,0.000000079,
    getpid        average:,0.000000080,
      send          kbest:,0.000000313,
      send        average:,0.000000525,
      recv          kbest:,0.000000317,
      recv        average:,0.000000651,
  big send          kbest:,0.000006457,
  big send        average:,0.000011028,
  big recv          kbest:,0.000009320,
  big recv        average:,0.000014109,
context siwtch          kbest:,0.000002229,
context siwtch        average:,0.000002313,
      fork          kbest:,0.000064375,
      fork       average:,0.000156176,
      fork    Child kbest:,0.000082808,
      fork Child average:,0.000208254,
thr create          kbest:,0.000004500,
thr create       average:,0.000011272,
thr create    Child kbest:,0.000006093,
thr create Child average:,0.000017569,
  big fork          kbest:,0.000849929,
  big fork       average:,0.002231927,
  big fork    Child kbest:,0.000964832,
  big fork Child average:,0.002320752,
 huge fork          kbest:,0.002888757,
 huge fork       average:,0.005056961,
 huge fork    Child kbest:,0.002979218,
 huge fork Child average:,0.005155739,
small write          kbest:,0.000000629,
small write        average:,0.000000810,
small read          kbest:,0.000000259,
small read        average:,0.000000427,
small mmap          kbest:,0.000000339,
small mmap        average:,0.000000349,
small munmap          kbest:,0.000000688,
small munmap        average:,0.000000713,
small page fault          kbest:,0.000000522,
small page fault        average:,0.000000538,
 mid write          kbest:,0.000005472,
 mid write        average:,0.000005625,
  mid read          kbest:,0.000002275,
  mid read        average:,0.000002910,
  mid mmap          kbest:,0.000000327,
  mid mmap        average:,0.000000344,
mid munmap          kbest:,0.000002672,
mid munmap        average:,0.000002768,
mid page fault          kbest:,0.000000526,
mid page fault        average:,0.000000538,
 big write          kbest:,0.000606006,
 big write        average:,0.000614101,
  big read          kbest:,0.000295196,
  big read        average:,0.000296926,
  big mmap          kbest:,0.000000329,
  big mmap        average:,0.000000342,
big munmap          kbest:,0.000109989,
big munmap        average:,0.000110930,
big page fault          kbest:,0.000000650,
big page fault        average:,0.000000669,
huge write          kbest:,0.013780555,
huge write        average:,0.013930137,
 huge read          kbest:,0.019861807,
 huge read        average:,0.020064610,
 huge mmap          kbest:,0.000000322,
 huge mmap        average:,0.000000352,
huge munmap          kbest:,0.001296724,
huge munmap        average:,0.001578611,
huge page fault          kbest:,0.000000646,
huge page fault        average:,0.000000683,
    select          kbest:,0.000000480,
    select        average:,0.000000509,
      poll          kbest:,0.000000352,
      poll        average:,0.000000382,
     epoll          kbest:,0.000000368,
     epoll        average:,0.000000437,
select big          kbest:,0.000043812,
select big        average:,0.000045731,
  poll big          kbest:,0.000044504,
  poll big        average:,0.000048422,
 epoll big          kbest:,0.000043403,
 epoll big        average:,0.000048341,
