OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084590,
       cpu        average:,0.003108484,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000081,
      send          kbest:,0.000000359,
      send        average:,0.000001243,
      recv          kbest:,0.000000483,
      recv        average:,0.000001373,
  big send          kbest:,0.000011216,
  big send        average:,0.000016154,
  big recv          kbest:,0.000016195,
  big recv        average:,0.000028841,
context siwtch          kbest:,0.000002893,
context siwtch        average:,0.000003719,
      fork          kbest:,0.000085153,
      fork       average:,0.000201974,
      fork    Child kbest:,0.000119390,
      fork Child average:,0.000297513,
thr create          kbest:,0.000008467,
thr create       average:,0.000021476,
thr create    Child kbest:,0.000011236,
thr create Child average:,0.000032819,
  big fork          kbest:,0.001783298,
  big fork       average:,0.002332698,
  big fork    Child kbest:,0.001740539,
  big fork Child average:,0.002527122,
 huge fork          kbest:,0.003645367,
 huge fork       average:,0.005037691,
 huge fork    Child kbest:,0.003721009,
 huge fork Child average:,0.005214274,
small write          kbest:,0.000000795,
small write        average:,0.000000955,
small read          kbest:,0.000000303,
small read        average:,0.000000341,
small mmap          kbest:,0.000000425,
small mmap        average:,0.000000456,
small munmap          kbest:,0.000000868,
small munmap        average:,0.000000921,
small page fault          kbest:,0.000000632,
small page fault        average:,0.000000664,
 mid write          kbest:,0.000007045,
 mid write        average:,0.000007423,
  mid read          kbest:,0.000002705,
  mid read        average:,0.000002926,
  mid mmap          kbest:,0.000000408,
  mid mmap        average:,0.000000445,
mid munmap          kbest:,0.000003364,
mid munmap        average:,0.000003518,
mid page fault          kbest:,0.000000635,
mid page fault        average:,0.000000679,
 big write          kbest:,0.000780728,
 big write        average:,0.000803982,
  big read          kbest:,0.000353623,
  big read        average:,0.000359354,
  big mmap          kbest:,0.000000434,
  big mmap        average:,0.000000472,
big munmap          kbest:,0.000137187,
big munmap        average:,0.000141098,
big page fault          kbest:,0.000000857,
big page fault        average:,0.000000916,
huge write          kbest:,0.012606032,
huge write        average:,0.012908600,
 huge read          kbest:,0.019072760,
 huge read        average:,0.019569739,
 huge mmap          kbest:,0.000000439,
 huge mmap        average:,0.000000491,
huge munmap          kbest:,0.001421970,
huge munmap        average:,0.001442566,
huge page fault          kbest:,0.000000868,
huge page fault        average:,0.000000907,
    select          kbest:,0.000000623,
    select        average:,0.000000702,
      poll          kbest:,0.000000562,
      poll        average:,0.000000630,
     epoll          kbest:,0.000000782,
     epoll        average:,0.000000918,
select big          kbest:,0.000051507,
select big        average:,0.000058191,
  poll big          kbest:,0.000064437,
  poll big        average:,0.000073683,
 epoll big          kbest:,0.000088180,
 epoll big        average:,0.000101497,
