OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084581,
       cpu        average:,0.003109024,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000081,
      send          kbest:,0.000000332,
      send        average:,0.000001161,
      recv          kbest:,0.000000477,
      recv        average:,0.000001588,
  big send          kbest:,0.000009532,
  big send        average:,0.000015389,
  big recv          kbest:,0.000015023,
  big recv        average:,0.000028538,
context siwtch          kbest:,0.000002887,
context siwtch        average:,0.000003731,
      fork          kbest:,0.000082674,
      fork       average:,0.000198176,
      fork    Child kbest:,0.000114586,
      fork Child average:,0.000299809,
thr create          kbest:,0.000007916,
thr create       average:,0.000019631,
thr create    Child kbest:,0.000009977,
thr create Child average:,0.000031276,
  big fork          kbest:,0.001583725,
  big fork       average:,0.002116097,
  big fork    Child kbest:,0.001533786,
  big fork Child average:,0.002314081,
 huge fork          kbest:,0.003534215,
 huge fork       average:,0.004758135,
 huge fork    Child kbest:,0.003595106,
 huge fork Child average:,0.004957903,
small write          kbest:,0.000000811,
small write        average:,0.000000958,
small read          kbest:,0.000000320,
small read        average:,0.000000350,
small mmap          kbest:,0.000000398,
small mmap        average:,0.000000431,
small munmap          kbest:,0.000000741,
small munmap        average:,0.000000791,
small page fault          kbest:,0.000000626,
small page fault        average:,0.000000670,
 mid write          kbest:,0.000007131,
 mid write        average:,0.000007447,
  mid read          kbest:,0.000002789,
  mid read        average:,0.000002953,
  mid mmap          kbest:,0.000000382,
  mid mmap        average:,0.000000405,
mid munmap          kbest:,0.000003002,
mid munmap        average:,0.000003101,
mid page fault          kbest:,0.000001147,
mid page fault        average:,0.000001211,
 big write          kbest:,0.000787665,
 big write        average:,0.000812752,
  big read          kbest:,0.000362592,
  big read        average:,0.000371009,
  big mmap          kbest:,0.000000409,
  big mmap        average:,0.000000428,
big munmap          kbest:,0.000128776,
big munmap        average:,0.000133691,
big page fault          kbest:,0.000001687,
big page fault        average:,0.000001757,
huge write          kbest:,0.012733780,
huge write        average:,0.012876003,
 huge read          kbest:,0.018664464,
 huge read        average:,0.019216329,
 huge mmap          kbest:,0.000000401,
 huge mmap        average:,0.000000427,
huge munmap          kbest:,0.001339988,
huge munmap        average:,0.001355577,
huge page fault          kbest:,0.000001680,
huge page fault        average:,0.000001800,
    select          kbest:,0.000000623,
    select        average:,0.000000701,
      poll          kbest:,0.000000566,
      poll        average:,0.000000676,
     epoll          kbest:,0.000000780,
     epoll        average:,0.000000913,
select big          kbest:,0.000054504,
select big        average:,0.000062931,
  poll big          kbest:,0.000068357,
  poll big        average:,0.000077121,
 epoll big          kbest:,0.000090957,
 epoll big        average:,0.000105754,
