OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084582,
       cpu        average:,0.003114782,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000081,
      send          kbest:,0.000000328,
      send        average:,0.000001048,
      recv          kbest:,0.000000479,
      recv        average:,0.000001603,
  big send          kbest:,0.000009636,
  big send        average:,0.000015789,
  big recv          kbest:,0.000015203,
  big recv        average:,0.000028379,
context siwtch          kbest:,0.000002888,
context siwtch        average:,0.000003749,
      fork          kbest:,0.000080669,
      fork       average:,0.000200310,
      fork    Child kbest:,0.000109501,
      fork Child average:,0.000299049,
thr create          kbest:,0.000008028,
thr create       average:,0.000019635,
thr create    Child kbest:,0.000011115,
thr create Child average:,0.000031812,
  big fork          kbest:,0.001452592,
  big fork       average:,0.002334083,
  big fork    Child kbest:,0.001555369,
  big fork Child average:,0.002499594,
 huge fork          kbest:,0.003595736,
 huge fork       average:,0.004855886,
 huge fork    Child kbest:,0.003504638,
 huge fork Child average:,0.005047007,
small write          kbest:,0.000000811,
small write        average:,0.000000935,
small read          kbest:,0.000000321,
small read        average:,0.000000339,
small mmap          kbest:,0.000000399,
small mmap        average:,0.000000423,
small munmap          kbest:,0.000000740,
small munmap        average:,0.000000803,
small page fault          kbest:,0.000000624,
small page fault        average:,0.000000673,
 mid write          kbest:,0.000007055,
 mid write        average:,0.000007500,
  mid read          kbest:,0.000002785,
  mid read        average:,0.000003013,
  mid mmap          kbest:,0.000000380,
  mid mmap        average:,0.000000412,
mid munmap          kbest:,0.000003018,
mid munmap        average:,0.000003130,
mid page fault          kbest:,0.000001147,
mid page fault        average:,0.000001208,
 big write          kbest:,0.000799342,
 big write        average:,0.000826595,
  big read          kbest:,0.000373186,
  big read        average:,0.000389054,
  big mmap          kbest:,0.000000384,
  big mmap        average:,0.000000412,
big munmap          kbest:,0.000129189,
big munmap        average:,0.000133062,
big page fault          kbest:,0.000001684,
big page fault        average:,0.000001740,
huge write          kbest:,0.012760700,
huge write        average:,0.012896606,
 huge read          kbest:,0.019067385,
 huge read        average:,0.019504095,
 huge mmap          kbest:,0.000000379,
 huge mmap        average:,0.000000415,
huge munmap          kbest:,0.001669917,
huge munmap        average:,0.001699917,
huge page fault          kbest:,0.000001673,
huge page fault        average:,0.000001796,
    select          kbest:,0.000000623,
    select        average:,0.000000698,
      poll          kbest:,0.000000564,
      poll        average:,0.000000665,
     epoll          kbest:,0.000000786,
     epoll        average:,0.000000926,
select big          kbest:,0.000055054,
select big        average:,0.000063857,
  poll big          kbest:,0.000068580,
  poll big        average:,0.000077825,
 epoll big          kbest:,0.000091812,
 epoll big        average:,0.000107841,
