OS Benchmark experiment
Test Name:,4.12.0-slab,
       ref          kbest:,0.000000021,
       ref        average:,0.000000033,
       cpu          kbest:,0.003133318,
       cpu        average:,0.003135268,
    getpid          kbest:,0.000000060,
    getpid        average:,0.000000075,
      send          kbest:,0.000000261,
      send        average:,0.000000723,
      recv          kbest:,0.000000490,
      recv        average:,0.000001271,
  big send          kbest:,0.000010200,
  big send        average:,0.000016393,
  big recv          kbest:,0.000017755,
  big recv        average:,0.000028648,
context siwtch          kbest:,0.000003398,
context siwtch        average:,0.000003483,
      fork          kbest:,0.000084832,
      fork       average:,0.000176542,
      fork    Child kbest:,0.000115191,
      fork Child average:,0.000247698,
thr create          kbest:,0.000004729,
thr create       average:,0.000012102,
thr create    Child kbest:,0.000006284,
thr create Child average:,0.000021234,
  big fork          kbest:,0.001342440,
  big fork       average:,0.002719536,
  big fork    Child kbest:,0.001502516,
  big fork Child average:,0.002823470,
 huge fork          kbest:,0.002379283,
 huge fork       average:,0.004766027,
 huge fork    Child kbest:,0.002474154,
 huge fork Child average:,0.004870828,
small write          kbest:,0.000000602,
small write        average:,0.000000717,
small read          kbest:,0.000000244,
small read        average:,0.000000255,
small mmap          kbest:,0.000000307,
small mmap        average:,0.000000319,
small munmap          kbest:,0.000000621,
small munmap        average:,0.000000636,
small page fault          kbest:,0.000000483,
small page fault        average:,0.000000492,
 mid write          kbest:,0.000005233,
 mid write        average:,0.000005343,
  mid read          kbest:,0.000002193,
  mid read        average:,0.000002270,
  mid mmap          kbest:,0.000000298,
  mid mmap        average:,0.000000307,
mid munmap          kbest:,0.000002585,
mid munmap        average:,0.000002672,
mid page fault          kbest:,0.000000906,
mid page fault        average:,0.000000929,
 big write          kbest:,0.000585838,
 big write        average:,0.000669211,
  big read          kbest:,0.000307541,
  big read        average:,0.000308718,
  big mmap          kbest:,0.000000299,
  big mmap        average:,0.000000307,
big munmap          kbest:,0.000108407,
big munmap        average:,0.000109096,
big page fault          kbest:,0.000000962,
big page fault        average:,0.000000986,
huge write          kbest:,0.013372125,
huge write        average:,0.013508965,
 huge read          kbest:,0.019158698,
 huge read        average:,0.019241631,
 huge mmap          kbest:,0.000000294,
 huge mmap        average:,0.000000302,
huge munmap          kbest:,0.001128588,
huge munmap        average:,0.001166504,
huge page fault          kbest:,0.000001328,
huge page fault        average:,0.000001363,
    select          kbest:,0.000000475,
    select        average:,0.000000525,
      poll          kbest:,0.000000351,
      poll        average:,0.000000384,
     epoll          kbest:,0.000000366,
     epoll        average:,0.000000412,
select big          kbest:,0.000049019,
select big        average:,0.000053123,
  poll big          kbest:,0.000046742,
  poll big        average:,0.000051458,
 epoll big          kbest:,0.000045651,
 epoll big        average:,0.000051191,
