OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084582,
       cpu        average:,0.003120072,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000084,
      send          kbest:,0.000000329,
      send        average:,0.000001160,
      recv          kbest:,0.000000481,
      recv        average:,0.000001603,
  big send          kbest:,0.000009448,
  big send        average:,0.000015945,
  big recv          kbest:,0.000014852,
  big recv        average:,0.000027705,
context siwtch          kbest:,0.000002896,
context siwtch        average:,0.000003758,
      fork          kbest:,0.000081657,
      fork       average:,0.000196347,
      fork    Child kbest:,0.000116684,
      fork Child average:,0.000294060,
thr create          kbest:,0.000008149,
thr create       average:,0.000019163,
thr create    Child kbest:,0.000011938,
thr create Child average:,0.000031123,
  big fork          kbest:,0.001633819,
  big fork       average:,0.002127269,
  big fork    Child kbest:,0.001685209,
  big fork Child average:,0.002323878,
 huge fork          kbest:,0.003414888,
 huge fork       average:,0.004697992,
 huge fork    Child kbest:,0.003553056,
 huge fork Child average:,0.004885161,
small write          kbest:,0.000000786,
small write        average:,0.000000875,
small read          kbest:,0.000000318,
small read        average:,0.000000356,
small mmap          kbest:,0.000000401,
small mmap        average:,0.000000426,
small munmap          kbest:,0.000000764,
small munmap        average:,0.000000814,
small page fault          kbest:,0.000000605,
small page fault        average:,0.000000639,
 mid write          kbest:,0.000006905,
 mid write        average:,0.000007174,
  mid read          kbest:,0.000002754,
  mid read        average:,0.000002975,
  mid mmap          kbest:,0.000000383,
  mid mmap        average:,0.000000426,
mid munmap          kbest:,0.000003030,
mid munmap        average:,0.000003197,
mid page fault          kbest:,0.000001129,
mid page fault        average:,0.000001210,
 big write          kbest:,0.000783402,
 big write        average:,0.000807766,
  big read          kbest:,0.000364473,
  big read        average:,0.000372020,
  big mmap          kbest:,0.000000407,
  big mmap        average:,0.000000427,
big munmap          kbest:,0.000128168,
big munmap        average:,0.000130726,
big page fault          kbest:,0.000001674,
big page fault        average:,0.000001759,
huge write          kbest:,0.012658903,
huge write        average:,0.012805757,
 huge read          kbest:,0.018658910,
 huge read        average:,0.019165486,
 huge mmap          kbest:,0.000000411,
 huge mmap        average:,0.000000440,
huge munmap          kbest:,0.001322495,
huge munmap        average:,0.001346634,
huge page fault          kbest:,0.000001686,
huge page fault        average:,0.000001767,
    select          kbest:,0.000000622,
    select        average:,0.000000684,
      poll          kbest:,0.000000560,
      poll        average:,0.000000637,
     epoll          kbest:,0.000000779,
     epoll        average:,0.000000931,
select big          kbest:,0.000054402,
select big        average:,0.000062665,
  poll big          kbest:,0.000067844,
  poll big        average:,0.000076006,
 epoll big          kbest:,0.000091699,
 epoll big        average:,0.000106440,
